Id	latitude	longitude	altitude (m)	distance (km)
0	25.48842018	51.45017025	11.7	0.000
1	25.48842831	51.45016594	11.7	0.001
2	25.48843631	51.45016133	11.7	0.002
3	25.48844419	51.45015648	11.7	0.003
4	25.48845194	51.45015139	11.7	0.004
5	25.48845962	51.45014615	11.7	0.005
6	25.48846724	51.45014081	11.7	0.006
7	25.48847484	51.45013546	11.8	0.007
8	25.48848243	51.45013007	11.8	0.008
9	25.48848997	51.45012461	11.8	0.009
10	25.48849745	51.45011904	11.8	0.010
11	25.48850493	51.45011347	11.8	0.011
12	25.48851239	51.45010788	11.8	0.012
13	25.48851992	51.45010239	11.8	0.013
14	25.48852745	51.4500969	11.8	0.014
15	25.48853499	51.45009142	11.9	0.015
16	25.48854257	51.45008604	11.9	0.016
17	25.48855017	51.45008067	11.9	0.017
18	25.48855779	51.45007533	11.9	0.018
19	25.48856543	51.45007003	11.9	0.019
20	25.48857308	51.45006476	11.9	0.020
21	25.48858074	51.4500595	11.9	0.021
22	25.48858841	51.45005426	11.9	0.022
23	25.48859609	51.45004903	11.9	0.023
24	25.48860377	51.4500438	11.9	0.024
25	25.48861144	51.45003856	11.9	0.025
26	25.48861912	51.45003332	11.9	0.026
27	25.48862683	51.45002815	11.8	0.027
28	25.48863462	51.45002312	11.8	0.028
29	25.48864249	51.45001826	11.8	0.029
30	25.48865027	51.45001322	11.8	0.030
31	25.48865798	51.45000805	11.8	0.031
32	25.48866579	51.45000306	11.8	0.032
33	25.48867363	51.44999814	11.8	0.033
34	25.4886814	51.44999307	11.8	0.034
35	25.48868914	51.44998796	11.8	0.035
36	25.48869694	51.44998294	11.8	0.036
37	25.48870475	51.44997795	11.8	0.037
38	25.48871259	51.44997303	11.8	0.038
39	25.48872045	51.44996813	11.8	0.039
40	25.4887283	51.44996323	11.8	0.040
41	25.48873615	51.44995832	11.8	0.041
42	25.48874402	51.44995345	11.8	0.042
43	25.4887519	51.44994861	11.8	0.043
44	25.48875979	51.44994377	11.8	0.044
45	25.48876768	51.44993894	11.8	0.045
46	25.48877557	51.4499341	11.7	0.046
47	25.48878342	51.44992919	11.7	0.047
48	25.48879127	51.44992429	11.7	0.048
49	25.48879913	51.4499194	11.7	0.049
50	25.488807	51.44991452	11.7	0.050
51	25.48881485	51.44990962	11.7	0.051
52	25.48882271	51.44990471	11.7	0.052
53	25.48883056	51.44989981	11.6	0.053
54	25.48883847	51.44989501	11.6	0.054
55	25.48884638	51.44989022	11.6	0.055
56	25.48885429	51.44988543	11.6	0.056
57	25.4888622	51.44988063	11.6	0.057
58	25.4888701	51.44987583	11.5	0.058
59	25.48887798	51.44987097	11.5	0.059
60	25.48888586	51.44986612	11.5	0.060
61	25.48889374	51.44986128	11.5	0.061
62	25.48890164	51.44985646	11.4	0.062
63	25.48890954	51.44985164	11.4	0.063
64	25.48891745	51.44984685	11.3	0.064
65	25.48892535	51.44984206	11.3	0.065
66	25.48893325	51.44983723	11.3	0.066
67	25.48894113	51.44983238	11.2	0.067
68	25.48894901	51.44982752	11.2	0.068
69	25.48895692	51.44982273	11.1	0.069
70	25.48896483	51.44981796	11.1	0.070
71	25.48897275	51.44981317	11.1	0.071
72	25.48898064	51.44980834	11.0	0.072
73	25.48898852	51.4498035	11.0	0.073
74	25.48899641	51.44979867	11.0	0.074
75	25.4890043	51.44979384	10.9	0.075
76	25.48901219	51.449789	10.9	0.076
77	25.48902009	51.44978419	10.8	0.077
78	25.48902799	51.44977938	10.8	0.078
79	25.4890359	51.44977457	10.8	0.079
80	25.48904382	51.4497698	10.7	0.080
81	25.48905174	51.44976504	10.7	0.081
82	25.48905966	51.44976027	10.6	0.082
83	25.4890676	51.44975553	10.6	0.083
84	25.48907553	51.44975078	10.6	0.084
85	25.48908346	51.44974604	10.5	0.085
86	25.48909141	51.44974131	10.5	0.086
87	25.48909935	51.44973659	10.4	0.087
88	25.4891073	51.44973187	10.4	0.088
89	25.48911525	51.44972717	10.3	0.089
90	25.48912321	51.44972248	10.3	0.090
91	25.48913115	51.44971775	10.3	0.091
92	25.48913908	51.44971299	10.2	0.092
